productores_sociedad_matricula,productores_sociedad_tipo_id,productores_sociedad_id,productores_sociedad_denominacion,ramo
925,CUIT,30709378852,ASSURLINE S.R.L. ,Patrimoniales y Vida
928,CUIT,30709451525,ARTAI ARGENTINA S.A. ,Patrimoniales y Vida
930,CUIT,30709363618,MELE HNOS & ASOCIADOS S.R.L. ,Patrimoniales y Vida
931,CUIT,30709489409,NUEVOS AIRES BROKER ,Patrimoniales y Vida
934,CUIT,33709464219,ROBERTO NOCETTI Y DANIEL NOCETTI SOCIEDADA COLECTIVA ,Patrimoniales y Vida
935,CUIT,30709198021,BA TEAM S.A. ,Patrimoniales y Vida
936,CUIT,33709570299,N & E ASESORES EN SEGUROS S.A. ,Patrimoniales y Vida
938,CUIT,30709693308,GRUPO 10 ASESORES Y PRODUCTORES DE SEGUROS S.A. ,Patrimoniales y Vida
940,CUIT,30709616192,CONSULTABLE S.A. ,Patrimoniales y Vida
941,CUIT,33709627649,ARG BROKER SRL ,Patrimoniales y Vida
942,CUIT,30709289612,BELGRANO PRODUCTORES ASESORES SRL ,Patrimoniales y Vida
943,CUIT,30709650625,OESTE BROKER S.A. ,Patrimoniales y Vida
944,CUIT,30709691844,ACSEG BROKER DE GARANTIAS S.R.L. ,Patrimoniales y Vida
945,CUIT,33709428409,GRUPO SUD ORGANIZACION DE PRODUCTORES DE SEGUROS S.R.L. ,Patrimoniales y Vida
947,CUIT,30709660361,GIZZI COLOMBO SOCIEDAD DE RESPONSABILIDAD LIMITADA ,Patrimoniales y Vida
948,CUIT,30709693375,COLUNGA BRINGAS Y ASOCIADOS S.R.L. ,Patrimoniales y Vida
949,CUIT,30709671398,SERVICIOS Y CAPITALES SAN JUAN  S.R.L.. ,Patrimoniales y Vida
952,CUIT,30709725641,C. Y C. PRODUCTORES DE SEGUROS S.R.L. ,Patrimoniales y Vida
953,CUIT,30709782092,AMERICANSEG BROKERS S.A. ,Patrimoniales y Vida
954,CUIT,33709733139,GAMAN ARGENTINA S.R.L. ASESORES DE SEGUROS ,Patrimoniales y Vida
955,CUIT,30709737429,VIS ASESORES DE SEGUROS S.A. ,Patrimoniales y Vida
956,CUIT,30709771279,COOPERATIVA DE TRABAJO COOPAS LTDA ,Patrimoniales y Vida
957,CUIT,30709802735,ADC CORREDORES ARGENTINOS DE SEGUROS SOCIEDAD ANONIMA ,Patrimoniales y Vida
958,CUIT,30709649538,BMYA ASESORES S.R.L. ,Patrimoniales y Vida
960,CUIT,33709754179,VSB BROKERS S.A. ,Patrimoniales y Vida
962,CUIT,30699750804,ORGANIZACION AMPARO S.R.L. ,Patrimoniales y Vida
963,CUIT,30709842664,DAWER BROKERS SOCIEDAD RESPONSABILIDAD LIMITADA ,Patrimoniales y Vida
964,CUIT,30709804266,DE LAURENTIIS AGENTES Y ASESORES EN SEGUROS SRL. ,Patrimoniales y Vida
967,CUIT,30709916544,GRUPO PANDOLFI S.A. ,Patrimoniales y Vida
968,CUIT,33712191509,RMA ASESORES EN SEGUROS S.R.L. ,Patrimoniales y Vida
969,CUIT,30709931403,DKS S.A. ,Patrimoniales y Vida
972,CUIT,30709993174,BP BROKERS S.A. ,Patrimoniales y Vida
974,CUIT,30710034482,ADMINISTRADORA DE RIESGOS GENERALES S.A. ,Patrimoniales y Vida
975,CUIT,30709957151,J & M R ASSEG S.R.L. ,Patrimoniales y Vida
976,CUIT,30710300476,CARMILTOMFRAN PRODUCTORES DE SEGUROS S.R.L. ,Patrimoniales y Vida
977,CUIT,30710134282,AVANZANDO S.R.L. ,Patrimoniales y Vida
978,CUIT,30710102429,BUS BROKER S.R.L. ,Patrimoniales y Vida
980,CUIT,30710057172,MAS BROKERS PRODUCTORES DE SEGUROS S.R.L. ,Patrimoniales y Vida
983,CUIT,30709931756,GARINO Y ASOCIADOS PRODUCTORES ASESORES DE SEGUROS S.R.L. ,Patrimoniales y Vida
984,CUIT,30710145071,MARIO CHAVEZ & ASOCIADOS - ASESORES DE SEGUROS SRL. ,Patrimoniales y Vida
